                           QSO        ion       Glon       Glat   peakvel_v_LSR           v_err
                    CAL-F-COPY       NiII    277.177    -35.421          -2.862           3.270
                    CAL-F-COPY       SiIV    277.177    -35.421          33.717           6.430
                      CSO-0873        CIV     37.644     83.660         -24.651           7.109
                      CSO-0873       SiII     37.644     83.660         -96.957          22.829
                        CTS487       CII*      5.545    -69.444         -22.651           2.236
                        CTS487        CIV      5.545    -69.444         -16.083           7.109
                        CTS487         NV      5.545    -69.444         -20.398           4.823
                        CTS487       NiII      5.545    -69.444         -18.517           5.451
                        CTS487        SII      5.545    -69.444         -22.090           2.382
                        CTS487       SiII      5.545    -69.444         -15.997           6.008
                        CTS487       SiIV      5.545    -69.444         -22.180           6.430
                    ESO-141-55       CII*    338.183    -26.711           0.568           4.473
                    ESO-141-55        CIV    338.183    -26.711           4.781          10.664
                    ESO-141-55       FeII    338.183    -26.711          -4.633           3.421
                    ESO-141-55         NV    338.183    -26.711           6.806           9.645
                    ESO-141-55       NiII    338.183    -26.711           6.375           3.270
                    ESO-141-55        SII    338.183    -26.711          -2.322           4.765
                    ESO-141-55       SiII    338.183    -26.711          50.775           9.612
                    ESO-141-55       SiIV    338.183    -26.711           3.415           9.645
                      FAIRALL9       CII*    295.073    -57.827         -17.716           2.236
                      FAIRALL9        CIV    295.073    -57.827           7.424           8.294
                      FAIRALL9       NiII    295.073    -57.827          -6.289           4.360
                      FAIRALL9        SII    295.073    -57.827          -1.984           2.382
                      FAIRALL9       SiII    295.073    -57.827          13.968           6.008
                      FAIRALL9       SiIV    295.073    -57.827           8.986           7.501
                FBQSJ1010+3003       CII*    198.427     54.625           0.717           4.473
                FBQSJ1010+3003        CIV    198.427     54.625         -69.583          14.218
                FBQSJ1010+3003         NV    198.427     54.625         -35.068           6.028
                FBQSJ1010+3003       NiII    198.427     54.625         -53.487           4.360
                FBQSJ1010+3003       SiIV    198.427     54.625         -43.681           7.501
           HB89-0107-025-NED05       CII*    134.029    -64.779           0.855           3.355
           HB89-0107-025-NED05        CIV    134.029    -64.779         -56.212           9.479
           HB89-0107-025-NED05         NV    134.029    -64.779         -50.341          13.262
           HB89-0107-025-NED05       NiII    134.029    -64.779          -4.379           4.360
           HB89-0107-025-NED05       SiII    134.029    -64.779         -13.404           8.411
           HB89-0107-025-NED05       SiIV    134.029    -64.779         -24.393          10.716
