                           QSO        ion       Glon       Glat   peakvel_v_LSR           v_err
                    CAL-F-COPY       NiII    277.177    -35.421          -2.450           3.750
                    CAL-F-COPY       SiIV    277.177    -35.421          33.800           6.500
                      CSO-0873        CIV     37.644     83.660         -22.500           7.600
                      CSO-0873       SiII     37.644     83.660          55.150          22.350
                        CTS487       CII*      5.545    -69.444          -9.650           2.050
                        CTS487        CIV      5.545    -69.444          -8.250           6.750
                        CTS487         NV      5.545    -69.444         -20.400           4.800
                        CTS487       NiII      5.545    -69.444         -17.700           5.500
                        CTS487        SII      5.545    -69.444         -23.050           2.650
                        CTS487       SiII      5.545    -69.444         -23.050           5.850
                        CTS487       SiIV      5.545    -69.444         -25.650           6.350
                    ESO-141-55       CII*    338.183    -26.711           1.400           4.600
                    ESO-141-55        CIV    338.183    -26.711           4.800          10.700
                    ESO-141-55       FeII    338.183    -26.711          -4.300           3.700
                    ESO-141-55         NV    338.183    -26.711           6.500          10.000
                    ESO-141-55       NiII    338.183    -26.711           6.250           3.450
                    ESO-141-55        SII    338.183    -26.711           5.300           4.400
                    ESO-141-55       SiII    338.183    -26.711          23.750           9.050
                    ESO-141-55       SiIV    338.183    -26.711           3.900          10.100
                      FAIRALL9       CII*    295.073    -57.827         -15.350           2.150
                      FAIRALL9        CIV    295.073    -57.827           4.250           8.250
                      FAIRALL9       NiII    295.073    -57.827          -5.850           4.750
                      FAIRALL9        SII    295.073    -57.827          -4.800           2.900
                      FAIRALL9       SiII    295.073    -57.827          -9.750           5.750
                      FAIRALL9       SiIV    295.073    -57.827          -2.700           7.000
                FBQSJ1010+3003       CII*    198.427     54.625           0.900           4.200
                FBQSJ1010+3003        CIV    198.427     54.625         -67.350          14.150
                FBQSJ1010+3003         NV    198.427     54.625         -35.350           6.050
                FBQSJ1010+3003       NiII    198.427     54.625         -53.150           4.750
                FBQSJ1010+3003       SiIV    198.427     54.625         -46.400           7.000
           HB89-0107-025-NED05       CII*    134.029    -64.779           3.100           3.300
           HB89-0107-025-NED05        CIV    134.029    -64.779         -57.450           9.550
           HB89-0107-025-NED05         NV    134.029    -64.779         -64.400          12.800
           HB89-0107-025-NED05       NiII    134.029    -64.779         -10.800           4.200
           HB89-0107-025-NED05       SiII    134.029    -64.779         -12.700           9.000
           HB89-0107-025-NED05       SiIV    134.029    -64.779         -24.750          11.050
                 HB89-0232-042       CII*    174.463    -56.156          -9.350           6.750
                 HB89-0232-042        CIV    174.463    -56.156           0.450          15.250
                 HB89-0232-042       NiII    174.463    -56.156          -4.100           0.600
                 HB89-0232-042        SII    174.463    -56.156          -0.750           3.250
                 HB89-0232-042       SiII    174.463    -56.156         -17.200           9.200
                 HB89-0232-042       SiIV    174.463    -56.156         -19.500           7.300
                   HE0056-3622       CII*    293.719    -80.898         -17.950           2.150
                   HE0056-3622        CIV    293.719    -80.898         -29.600          13.000
                   HE0056-3622         NV    293.719    -80.898         -22.650          11.050
                   HE0056-3622       NiII    293.719    -80.898         -15.400           3.700
                   HE0056-3622        SII    293.719    -80.898          -7.150           1.950
                   HE0056-3622       SiIV    293.719    -80.898         -23.950          10.750
                   HE0153-4520       CII*    271.796    -67.975          -6.300           3.000
                   HE0153-4520        CIV    271.796    -67.975           1.350           8.450
                   HE0153-4520       FeII    271.796    -67.975         -12.200           5.100
                   HE0153-4520         NV    271.796    -67.975          14.600           3.700
                   HE0153-4520       NiII    271.796    -67.975          -5.400           3.100
                   HE0153-4520        SII    271.796    -67.975           0.600           2.800
                   HE0153-4520       SiII    271.796    -67.975          -3.000           7.000
                   HE0153-4520       SiIV    271.796    -67.975          -2.100           7.100
                   HE0226-4110       CII*    253.941    -65.775          -5.450           2.850
                   HE0226-4110        CIV    253.941    -65.775          22.650           6.850
                   HE0226-4110       NiII    253.941    -65.775         -38.550           9.550
                   HE0226-4110        SII    253.941    -65.775           2.300           2.600
                   HE0226-4110       SiII    253.941    -65.775           2.850           4.850
                   HE0226-4110       SiIV    253.941    -65.775           0.850           6.550
                   HE0238-1904       CII*    200.480    -63.634          -5.600           2.700
                   HE0238-1904        CIV    200.480    -63.634         -26.000          10.000
                   HE0238-1904         NV    200.480    -63.634         -14.600           7.000
                   HE0238-1904       NiII    200.480    -63.634          -7.350           4.350
                   HE0238-1904        SII    200.480    -63.634           2.100           2.600
                   HE0238-1904       SiIV    200.480    -63.634         -19.300           6.900
                   HE0435-5304       CII*    261.025    -41.375          29.900          11.200
                   HE0435-5304        CIV    261.025    -41.375          -2.100           9.900
                   HE0435-5304         NV    261.025    -41.375          11.700           3.700
                   HE0435-5304       NiII    261.025    -41.375           7.850          10.250
                   HE0435-5304        SII    261.025    -41.375           8.250           4.350
                   HE0435-5304       SiII    261.025    -41.375          -0.650          11.850
                   HE0435-5304       SiIV    261.025    -41.375          -4.800           5.600
                   HE0439-5254       CII*    260.693    -40.901          13.350          10.350
                   HE0439-5254        CIV    260.693    -40.901          -7.450          10.350
                   HE0439-5254       FeII    260.693    -40.901         191.050           6.750
                   HE0439-5254         NV    260.693    -40.901         -36.950           9.250
                   HE0439-5254       NiII    260.693    -40.901          18.100          17.400
                   HE0439-5254        SII    260.693    -40.901          13.050           4.250
                   HE0439-5254       SiII    260.693    -40.901           6.750           9.450
                   HE0439-5254       SiIV    260.693    -40.901         -13.200           6.400
                  HS-0033+4300       CII*    120.026    -19.509         -23.950           9.850
                  HS-0033+4300        CIV    120.026    -19.509         -17.800           6.700
                  HS-0033+4300       FeII    120.026    -19.509         -61.050           3.450
                  HS-0033+4300         NV    120.026    -19.509          15.400           2.200
                  HS-0033+4300       NiII    120.026    -19.509         -22.350           6.550
                  HS-0033+4300        SII    120.026    -19.509         -17.250           7.750
                  HS-0033+4300       SiII    120.026    -19.509         -32.000          14.100
                  HS-0033+4300       SiIV    120.026    -19.509         -27.500           7.900
                   HS1102+3441       CII*    188.563     66.219         -25.850           6.150
                   HS1102+3441        CIV    188.563     66.219         -39.250           9.450
                   HS1102+3441         NV    188.563     66.219         -35.650           8.450
                   HS1102+3441       NiII    188.563     66.219         -27.400           9.100
                   HS1102+3441        SII    188.563     66.219         -29.150           6.750
                   HS1102+3441       SiII    188.563     66.219         -54.300          11.200
                   HS1102+3441       SiIV    188.563     66.219         -40.050           9.050
                   HS2154+2228        CIV     78.426    -24.698          13.750          11.650
                   HS2154+2228       SiII     78.426    -24.698         -14.800          11.300
         ICRF-J122011.8+020342       CII*    284.992     63.840          80.300           6.400
         ICRF-J122011.8+020342        CIV    284.992     63.840         -19.250          12.550
         ICRF-J122011.8+020342       FeII    284.992     63.840         -90.450           2.650
         ICRF-J122011.8+020342         NV    284.992     63.840           0.150          11.350
         ICRF-J122011.8+020342       NiII    284.992     63.840         -16.250           5.150
         ICRF-J122011.8+020342        SII    284.992     63.840         -13.500           5.700
         ICRF-J122011.8+020342       SiII    284.992     63.840         -12.250          12.250
         ICRF-J122011.8+020342       SiIV    284.992     63.840         -11.200          10.900
                        IO-AND       CII*    122.279    -23.181          -8.450           7.450
                        IO-AND        CIV    122.279    -23.181         -12.900           7.100
                        IO-AND         NV    122.279    -23.181         -20.300           7.600
                        IO-AND       NiII    122.279    -23.181         -24.550           7.450
                        IO-AND        SII    122.279    -23.181          -3.050           6.650
                        IO-AND       SiIV    122.279    -23.181         -12.000           5.400
              IRAS-F04250-5718        CIV    266.987    -41.996         -46.250           8.050
              IRAS-F04250-5718         NV    266.987    -41.996          24.850           1.050
              IRAS-F04250-5718       NiII    266.987    -41.996           2.500           1.600
              IRAS-F04250-5718        SII    266.987    -41.996           4.050           2.950
