                           QSO        ion       Glon       Glat    maxvel_v_LSR            logN
                    B0117-2837       SiIV    225.731    -83.651        -126.616          12.811
                      B0120-28       AlII    227.775    -82.933         -54.894          13.417
                      B0120-28       CII*    227.775    -82.933         -87.871          12.849
                      B0120-28        CIV    227.775    -82.933        -105.858          12.734
                      B0120-28       FeII    227.775    -82.933          77.015          15.672
                      B0120-28       NiII    227.775    -82.933          -6.927          13.754
                      B0120-28       SiIV    227.775    -82.933         -93.867          12.275
                    CAL-F-COPY        CIV    277.177    -35.421          50.130          13.191
                    CAL-F-COPY       FeII    277.177    -35.421         -42.806          10.941
                    CAL-F-COPY       NiII    277.177    -35.421          -0.835          13.614
                    CAL-F-COPY        SII    277.177    -35.421          50.130          14.283
                    CAL-F-COPY       SiIV    277.177    -35.421          29.145          13.225
                      CSO-0873        CIV     37.644     83.660         -89.309          12.545
                      CSO-0873       NiII     37.644     83.660         -14.361          18.160
                      CSO-0873       SiII     37.644     83.660         -14.361          17.122
                        CTS487       CII*      5.545    -69.444         -12.131          15.648
                        CTS487        CIV      5.545    -69.444         -99.071          13.681
                        CTS487         NV      5.545    -69.444         -21.125          13.193
                        CTS487       NiII      5.545    -69.444         -12.131          13.731
                        CTS487        SII      5.545    -69.444         -15.129          15.233
                        CTS487       SiII      5.545    -69.444          56.821          12.411
                        CTS487       SiIV      5.545    -69.444        -108.064          12.959
                    ESO-141-55       CII*    338.183    -26.711         -51.011          11.828
                    ESO-141-55        CIV    338.183    -26.711         -95.980          13.787
                    ESO-141-55       FeII    338.183    -26.711          62.910           8.800
                    ESO-141-55         NV    338.183    -26.711         -74.994          12.895
                    ESO-141-55       NiII    338.183    -26.711          50.919          13.401
                    ESO-141-55        SII    338.183    -26.711          47.921          15.003
                    ESO-141-55       SiII    338.183    -26.711         -60.005          13.110
                    ESO-141-55       SiIV    338.183    -26.711        -101.976          12.055
                      FAIRALL9       CII*    295.073    -57.827          27.352          13.095
                      FAIRALL9        CIV    295.073    -57.827          60.329          13.720
                      FAIRALL9       NiII    295.073    -57.827           3.369          13.673
                      FAIRALL9        SII    295.073    -57.827          72.321          13.706
                      FAIRALL9       SIII    295.073    -57.827         -17.617          14.489
                      FAIRALL9       SiII    295.073    -57.827          60.329          13.164
                      FAIRALL9       SiIV    295.073    -57.827          54.334          12.933
                FBQSJ1010+3003       CII*    198.427     54.625         -35.111          14.115
                FBQSJ1010+3003        CIV    198.427     54.625        -128.047          12.855
                FBQSJ1010+3003         NV    198.427     54.625          30.843          13.389
                FBQSJ1010+3003       NiII    198.427     54.625         -71.086          15.520
                FBQSJ1010+3003       SiIV    198.427     54.625         -47.103          13.216
                     H1821+643        CIV     94.002     27.417        -127.409          13.920
                     H1821+643       NiII     94.002     27.417         -79.443          13.776
                     H1821+643       SiII     94.002     27.417        -139.401          14.291
           HB89-0107-025-NED05       CII*    134.029    -64.779           6.641          14.150
           HB89-0107-025-NED05        CIV    134.029    -64.779         -68.307          13.910
           HB89-0107-025-NED05         NV    134.029    -64.779         -44.323          13.840
           HB89-0107-025-NED05       NiII    134.029    -64.779         -29.334          13.658
           HB89-0107-025-NED05        SII    134.029    -64.779           9.639          15.220
           HB89-0107-025-NED05       SiII    134.029    -64.779         -23.338          14.343
           HB89-0107-025-NED05       SiIV    134.029    -64.779          63.602          12.592
                 HB89-0232-042       CII*    174.463    -56.156         -20.292          13.949
                 HB89-0232-042        CIV    174.463    -56.156         -20.292          14.017
                 HB89-0232-042       NiII    174.463    -56.156         -11.298          13.741
                 HB89-0232-042        SII    174.463    -56.156           3.692          15.213
                 HB89-0232-042       SiII    174.463    -56.156          72.644          13.852
                 HB89-0232-042       SiIV    174.463    -56.156          42.665          12.651
                   HE0056-3622       CII*    293.719    -80.898         -27.194          13.792
                   HE0056-3622        CIV    293.719    -80.898         -90.150          13.169
                   HE0056-3622         NV    293.719    -80.898         -39.186          13.583
                   HE0056-3622       NiII    293.719    -80.898         -18.200          13.508
                   HE0056-3622        SII    293.719    -80.898          -6.209          15.286
                   HE0056-3622       SiIV    293.719    -80.898          53.750          13.134
                   HE0153-4520       CII*    271.796    -67.975          -0.803          13.917
                   HE0153-4520        CIV    271.796    -67.975          65.151          13.287
                   HE0153-4520       FeII    271.796    -67.975          -6.799          15.008
                   HE0153-4520         NV    271.796    -67.975          17.184          13.260
                   HE0153-4520       NiII    271.796    -67.975         -12.795          13.606
                   HE0153-4520        SII    271.796    -67.975          -0.803          15.301
                   HE0153-4520       SiII    271.796    -67.975         -63.760          12.883
                   HE0153-4520       SiIV    271.796    -67.975          -6.799          13.468
                   HE0226-4110       CII*    253.941    -65.775          -2.271          13.919
                   HE0226-4110        CIV    253.941    -65.775          51.691          12.784
                   HE0226-4110       NiII    253.941    -65.775           0.726          16.060
                   HE0226-4110        SII    253.941    -65.775           0.726          15.225
                   HE0226-4110       SiII    253.941    -65.775          87.666          12.676
                   HE0226-4110       SiIV    253.941    -65.775          -5.269          13.436
                   HE0238-1904       CII*    200.480    -63.634         -10.589          14.251
                   HE0238-1904        CIV    200.480    -63.634          79.349          12.830
                   HE0238-1904         NV    200.480    -63.634         -10.589          13.059
                   HE0238-1904       NiII    200.480    -63.634          -7.591          13.505
                   HE0238-1904        SII    200.480    -63.634          -7.591          15.772
                   HE0238-1904       SiIV    200.480    -63.634         -67.550          12.497
                   HE0435-5304       CII*    261.025    -41.375          42.287          14.737
                   HE0435-5304        CIV    261.025    -41.375         -95.617          13.283
                   HE0435-5304         NV    261.025    -41.375          15.306          13.276
                   HE0435-5304       NiII    261.025    -41.375         -11.675          14.406
                   HE0435-5304        SII    261.025    -41.375           6.312          15.043
                   HE0435-5304       SiII    261.025    -41.375          81.260          14.036
                   HE0435-5304       SiIV    261.025    -41.375         -89.621          12.925
                   HE0439-5254       CII*    260.693    -40.901          81.184           9.575
                   HE0439-5254        CIV    260.693    -40.901         -17.748          14.301
                   HE0439-5254         NV    260.693    -40.901         -32.737          13.744
                   HE0439-5254       NiII    260.693    -40.901        -137.665          13.769
                   HE0439-5254        SII    260.693    -40.901           9.234          14.980
                   HE0439-5254       SiII    260.693    -40.901          54.202          14.353
                   HE0439-5254       SiIV    260.693    -40.901          33.217          13.658
                  HS-0033+4300       CII*    120.026    -19.509         -33.901          14.527
                  HS-0033+4300        CIV    120.026    -19.509         -12.916          13.905
                  HS-0033+4300       FeII    120.026    -19.509         -21.910          13.127
                  HS-0033+4300         NV    120.026    -19.509          20.061          13.665
                  HS-0033+4300       NiII    120.026    -19.509          -6.920          14.010
                  HS-0033+4300        SII    120.026    -19.509         -81.868          14.749
                  HS-0033+4300       SiII    120.026    -19.509        -123.839          13.779
                  HS-0033+4300       SiIV    120.026    -19.509         -24.908          13.527
                   HS1102+3441       CII*    188.563     66.219          47.036          13.040
                   HS1102+3441        CIV    188.563     66.219          53.032          12.846
                   HS1102+3441         NV    188.563     66.219         -27.912          13.549
                   HS1102+3441       NiII    188.563     66.219         -93.867          13.428
                   HS1102+3441        SII    188.563     66.219         -36.906          15.443
                   HS1102+3441       SiII    188.563     66.219          77.015          13.748
                   HS1102+3441       SiIV    188.563     66.219          56.029          12.830
                   HS2154+2228        CIV     78.426    -24.698         -50.685          13.608
                   HS2154+2228       NiII     78.426    -24.698         -23.703          14.400
                   HS2154+2228       SiII     78.426    -24.698         -92.656          14.025
         ICRF-J122011.8+020342       CII*    284.992     63.840          79.540          13.935
         ICRF-J122011.8+020342        CIV    284.992     63.840          64.551          13.556
         ICRF-J122011.8+020342       FeII    284.992     63.840         -64.360           9.143
         ICRF-J122011.8+020342         NV    284.992     63.840           4.592          13.887
         ICRF-J122011.8+020342       NiII    284.992     63.840          -7.399          13.980
         ICRF-J122011.8+020342        SII    284.992     63.840         -67.358          14.324
         ICRF-J122011.8+020342       SiII    284.992     63.840           1.594          15.010
         ICRF-J122011.8+020342       SiIV    284.992     63.840         -16.393          13.781
                        IO-AND       CII*    122.279    -23.181         -65.136          14.113
                        IO-AND        CIV    122.279    -23.181         -50.146          13.148
                        IO-AND         NV    122.279    -23.181         -23.165          13.149
                        IO-AND       NiII    122.279    -23.181        -101.111          12.985
                        IO-AND        SII    122.279    -23.181         -47.148          15.376
                        IO-AND       SiIV    122.279    -23.181        -110.105          12.605
              IRAS-F04250-5718        CIV    266.987    -41.996        -103.887          12.012
              IRAS-F04250-5718         NV    266.987    -41.996          28.022          12.898
              IRAS-F04250-5718       NiII    266.987    -41.996         -40.931           7.826
              IRAS-F04250-5718        SII    266.987    -41.996          13.032          15.138
              IRAS-F04250-5718       SiIV    266.987    -41.996         -82.902          12.180
              IRAS-F22456-5125       AlII    338.512    -56.630          -1.295          13.342
              IRAS-F22456-5125        CIV    338.512    -56.630          76.651          13.070
              IRAS-F22456-5125         NI    338.512    -56.630         -10.289          19.290
              IRAS-F22456-5125         NV    338.512    -56.630           7.699          13.375
              IRAS-F22456-5125       NiII    338.512    -56.630          -1.295          13.349
              IRAS-F22456-5125        SII    338.512    -56.630         -10.289          14.957
              IRAS-F22456-5125       SiII    338.512    -56.630          82.647          11.781
              IRAS-F22456-5125       SiIV    338.512    -56.630          58.664          12.071
              IRAS-L06229-6434       CII*    274.312    -27.320          16.541          15.318
              IRAS-L06229-6434        CIV    274.312    -27.320          43.522          13.985
              IRAS-L06229-6434         NV    274.312    -27.320         -13.438          12.994
              IRAS-L06229-6434       NiII    274.312    -27.320          -7.442          13.572
              IRAS-L06229-6434        SII    274.312    -27.320          70.504          14.700
              IRAS-L06229-6434       SiIV    274.312    -27.320          79.497          12.550
               IRASF00040+4325       CII*    114.416    -18.421         -68.189          13.618
               IRASF00040+4325        CIV    114.416    -18.421         -44.205          13.636
               IRASF00040+4325       FeII    114.416    -18.421          45.732           8.380
               IRASF00040+4325         NV    114.416    -18.421         -11.228          13.088
               IRASF00040+4325       NiII    114.416    -18.421         -35.212          13.432
               IRASF00040+4325        SII    114.416    -18.421         -68.189          14.347
               IRASF00040+4325       SiIV    114.416    -18.421        -137.141          12.920
                          IZW1       CII*    123.749    -50.175          -7.437          14.017
                          IZW1        CIV    123.749    -50.175         -64.397          13.343
                          IZW1       NiII    123.749    -50.175         -28.422          13.654
                          IZW1        SII    123.749    -50.175         -13.433          15.125
                          IZW1       SiIV    123.749    -50.175         -40.414          13.135
                        KAZ238       CII*    110.965    -28.352          -3.315          14.360
                        KAZ238        CIV    110.965    -28.352         -78.263          13.060
                        KAZ238         NV    110.965    -28.352         -48.284          13.315
                        KAZ238       NiII    110.965    -28.352         -60.276          14.252
                        KAZ238        SII    110.965    -28.352         -60.276          15.180
                        KAZ238       SiIV    110.965    -28.352         -24.301          13.594
                LBQS-1435-0134       CII*    348.718     51.375         -73.479          13.631
                LBQS-1435-0134        CIV    348.718     51.375         -58.489          14.693
                LBQS-1435-0134       FeII    348.718     51.375           1.469           9.660
                LBQS-1435-0134         NV    348.718     51.375        -127.442          13.069
                LBQS-1435-0134       NiII    348.718     51.375          -4.527          13.871
                LBQS-1435-0134        SII    348.718     51.375         -58.489          14.406
                LBQS-1435-0134       SiII    348.718     51.375        -121.446          13.007
                LBQS-1435-0134       SiIV    348.718     51.375        -136.435          13.059
                       MARK509       CII*     35.971    -29.855          62.124          13.919
                       MARK509        CIV     35.971    -29.855        -123.747          12.448
                       MARK509       FeII     35.971    -29.855          71.118           9.380
                       MARK509         NV     35.971    -29.855          83.110          13.328
                       MARK509       NiII     35.971    -29.855          53.130          13.241
                       MARK509        SII     35.971    -29.855          77.114          14.782
                       MARK509       SiII     35.971    -29.855         -69.784          14.073
                       MARK509       SiIV     35.971    -29.855          77.114          13.404
                    MR2251-178       CII*     46.197    -61.326           7.922          14.033
                    MR2251-178        CIV     46.197    -61.326         -52.037          13.466
                    MR2251-178         NV     46.197    -61.326          19.913          13.309
                    MR2251-178       NiII     46.197    -61.326          10.920          13.545
                    MR2251-178        SII     46.197    -61.326         -40.045          14.335
                    MR2251-178       SiII     46.197    -61.326         -67.026          13.545
                    MR2251-178       SiIV     46.197    -61.326         -76.020          12.986
                      MRK-1044       CII*    179.695    -60.477          -8.757          13.970
                      MRK-1044        CIV    179.695    -60.477         -89.701          14.049
                      MRK-1044         NV    179.695    -60.477         -50.728          13.154
