                           QSO        ion       Glon       Glat    maxcol_v_LSR      total_logN
       2MASX-J01013113+4229356       CII*    124.914    -20.340         -62.379          16.705
       2MASX-J01013113+4229356        CIV    124.914    -20.340         -53.385          14.225
       2MASX-J01013113+4229356       FeII    124.914    -20.340          -2.420          12.120
       2MASX-J01013113+4229356       NiII    124.914    -20.340         -11.414          14.428
       2MASX-J01013113+4229356        SII    124.914    -20.340         -29.402          15.954
       2MASX-J01013113+4229356       SiII    124.914    -20.340         -47.389          16.644
       2MASX-J01013113+4229356       SiIV    124.914    -20.340         -20.408          13.687
       2MASX-J10053271-2417161       CII*    261.230     24.851         -17.901          14.686
       2MASX-J10053271-2417161        CIV    261.230     24.851          51.051          14.343
       2MASX-J10053271-2417161         NV    261.230     24.851         -17.901          14.023
       2MASX-J10053271-2417161       NiII    261.230     24.851          -5.909          14.316
       2MASX-J10053271-2417161        SII    261.230     24.851          -5.909          15.857
       2MASX-J10053271-2417161       SiII    261.230     24.851          36.062          15.110
       2MASX-J10053271-2417161       SiIV    261.230     24.851         -17.901          13.609
         2XMM-J100420.0+051300       CII*    234.161     44.622         -10.680          14.058
         2XMM-J100420.0+051300        CIV    234.161     44.622         -34.663          14.120
         2XMM-J100420.0+051300       SiII    234.161     44.622         -31.666          14.645
         2XMM-J100420.0+051300       SiIV    234.161     44.622          64.268          13.560
         2XMM-J141348.3+440014        CIV     83.828     66.353         -67.304          14.246
         2XMM-J141348.3+440014       NiII     83.828     66.353          -7.345          14.501
         2XMM-J141348.3+440014       SiII     83.828     66.353         -43.320          14.772
         2XMM-J141348.3+440014       SiIV     83.828     66.353         -61.308          13.646
                        3C-66A       CII*    140.143    -16.767         -30.362          14.579
                        3C-66A        CIV    140.143    -16.767         -24.366          13.455
                        3C-66A       FeII    140.143    -16.767          35.593           9.075
                        3C-66A       NiII    140.143    -16.767         -15.372          14.041
                        3C-66A        SII    140.143    -16.767         -15.372          15.805
                        3C-66A       SiII    140.143    -16.767         -27.364          15.856
                        3C-66A       SiIV    140.143    -16.767         -27.364          13.356
                         3C263       CII*    134.159     49.744         -60.569          13.945
                         3C263        CIV    134.159     49.744         -30.589          14.251
                         3C263       NiII    134.159     49.744         -12.602          13.737
                         3C263        SII    134.159     49.744         -51.575          15.205
                         3C263       SiIV    134.159     49.744         -27.592          13.759
                         3C273       CII*    289.951     64.360         -30.714          14.132
                         3C273       FeII    289.951     64.360         -24.718          15.402
                         3C273         NV    289.951     64.360          -9.729          13.929
                         3C273       NiII    289.951     64.360           2.263          13.819
                         3C273        SII    289.951     64.360         -33.712          15.328
                         3C273       SiIV    289.951     64.360           5.261          13.848
                          3C48       CII*    133.963    -28.719           2.696          14.347
                          3C48        CIV    133.963    -28.719         -33.280          13.968
                          3C48       NiII    133.963    -28.719          -0.302          14.066
